Designation,G kg/m,h mm,b mm,s mm,t mm,A cm2,r1 mm,r2 mm,h1 mm
UB 305 × 127 × 42,41.9,307.2,124.3,8,12.1,53.4,8.9,,
UB 305 × 127 × 48,48.1,311,125.3,9,14,61.2,8.9,,
UB 305 × 165 × 40,40.3,303.4,165,6,10.2,51.3,8.9,,
UB 305 × 165 × 46,46.1,306.6,165.7,6.7,11.8,58.7,8.9,,
UB 305 × 165 × 54,54,310.4,166.9,7.9,13.7,68.8,8.9,,
UB 356 × 127 × 33,33.1,349,125.4,6,8.5,42.1,10,,
UB 356 × 127 × 39,39.1,353.4,126,6.6,10.7,49.8,10,,
UB 356 × 171 × 45,45,351.4,171.1,7,9.7,57.3,10,,
UB 356 × 171 × 51,51,355,171.5,7.4,11.5,64.9,10,,
UB 356 × 171 × 57,57,358,172.2,8.1,13,72.6,10,,
UB 356 × 171 × 67,67.1,363.4,173.2,9.1,15.7,85.5,10,,
UB 406 × 140 × 39,39,398,141.8,6.4,8.6,49.7,10,,
UB 406 × 140 × 46,46,403.2,142.2,6.8,11.2,58.6,10,,
UB 406 × 178 × 54,54.1,402.6,177.7,7.7,10.9,69,10,,
UB 406 × 178 × 60,60.1,406.4,177.9,7.9,12.8,76.5,10,,
UB 406 × 178 × 67,67.1,409.4,178.8,8.8,14.3,85.5,10,,
UB 406 × 178 × 74,74.2,412.8,179.5,9.5,16,94.5,10,,
UB 457 × 152 × 52,52.3,449.8,152.4,7.6,10.9,66.6,10,,
UB 457 × 152 × 60,59.8,454.6,152.9,8.1,13.3,76.2,10,,
UB 457 × 152 × 67,67.2,458,153.8,9,15,85.6,10,,
UB 457 × 152 × 74,74.2,462,154.4,9.6,17,94.5,10,,
UB 457 × 152 × 82,82.1,465.8,155.3,10.5,18.9,104.5,10,,
UB 457 × 191 × 67,67.1,453.4,189.9,8.5,12.7,85.5,10,,
UB 457 × 191 × 74,74.3,457,190.4,9,14.5,94.6,10,,
UB 457 × 191 × 82,82,460,191.3,9.9,16,104.5,10,,
UB 457 × 191 × 89,89.3,463.4,191.9,10.5,17.7,113.8,10,,
UB 457 × 191 × 98,98.3,467.2,192.8,11.4,19.6,125.3,10,,
UB 533 × 210 × 82,82.2,528.3,208.8,9.6,13.2,104.7,13,,
UB 533 × 210 × 92,92.1,533.1,209.3,10.1,15.6,117.4,13,,
UB 533 × 210 × 101,101,536.7,210,10.8,17.4,128.7,13,,
UB 533 × 210 × 109,109,539.5,210.8,11.6,18.8,138.9,13,,
UB 533 × 210 × 122,122,544.5,211.9,12.7,21.3,155.4,13,,
UB 610 × 229 × 101,101,602.6,227.6,10.5,14.8,128.9,13,,
UB 610 × 229 × 113,113,607.6,228.2,11.1,17.3,143.9,13,,
UB 610 × 229 × 125,125,612.2,229,11.9,19.6,159.3,13,,
UB 610 × 229 × 140,140,617.2,230.2,13.1,22.1,178.2,13,,
UB 610 × 305 × 149,149,612.4,304.8,11.8,19.7,190,17,,
UB 610 × 305 × 179,179,620.2,307.1,14.1,23.6,228.1,17,,
UB 610 × 305 × 238,238,635.8,311.4,18.4,31.4,303.3,17,,
UB 686 × 254 × 125,125,677.9,253,11.7,16.2,159.5,15,,
UB 686 × 254 × 140,140,683.5,253.7,12.4,19,178.4,15,,
UB 686 × 254 × 152,152,687.5,254.5,13.2,21,194.1,15,,
UB 686 × 254 × 170,170,692.9,255.8,14.5,23.7,216.8,15,,
UB 762 × 267 × 134,134,750,264.4,12,15.5,170.6,17,,
UB 762 × 267 × 147,147,754,265.2,12.8,17.5,187.2,17,,
UB 762 × 267 × 173,173,762.2,266.7,14.3,21.6,220.4,17,,
UB 762 × 267 × 197,197,769.8,268,15.6,25.4,250.6,17,,
UB 838 × 292 × 176,176,834.9,291.7,14,18.8,224,18,,
UB 838 × 292 × 194,194,840.7,292.4,14.7,21.7,246.8,18,,
UB 838 × 292 × 226,226,850.9,293.8,16.1,26.8,288.6,18,,
UB 914 × 305 × 201,201,903,303.3,15.1,20.2,255.9,19,,
UB 914 × 305 × 224,224,910.4,304.1,15.9,23.9,285.6,19,,
UB 914 × 305 × 238,238,915,305,16.5,25.9,303.5,19,,
UB 914 × 305 × 253,253,918.4,305.5,17.3,27.9,322.8,19,,
UB 914 × 305 × 271,271,923,307,18.4,30,346.1,19,,
UB 914 × 305 × 289,289,926.6,307.7,19.5,32,368.3,19,,
UB 914 × 305 × 313,313,932,309,21.1,34.5,398.4,19,,
UB 914 × 305 × 345,345,943,308,22.1,39.9,439.7,19,,
UB 914 × 305 × 381,381,951,310,24.4,43.9,485.9,19,,
UB 914 × 305 × 425,425,961,313,26.9,49,542,19,,
UB 914 × 305 × 474,474,971,316,30,54.1,603.9,19,,
UB 914 × 305 × 521,521,981,319,33,58.9,663.7,19,,
UB 914 × 305 × 576,576,993,322,36.1,65,733.2,19,,
UB 914 × 419 × 343,343,911.8,418.5,19.4,32,437.3,19,,
UB 914 × 419 × 388,388,921,420.5,21.4,36.6,494.2,19,,
UB 1016 × 305 × 222,222,970,300,16,21.1,282.8,30,,
UB 1016 × 305 × 249,249,980,300,16.5,26,316.8,30,,
UB 1016 × 305 × 272,272,990,300,16.5,31,346.8,30,,
UB 1016 × 305 × 314,314,1000,300,19.1,35.9,400.4,30,,
UB 1016 × 305 × 350,350,1008,302,21.1,40,445.1,30,,
UB 1016 × 305 × 393,393,1016,303,24.4,43.9,500.2,30,,
UB 1016 × 305 × 415,415,1020,304,26,46,528.7,30,,
UB 1016 × 305 × 438,438,1026,305,26.9,49,556.3,30,,
UB 1016 × 305 × 494,494,1036,309,31,54,629.1,30,,
UB 1016 × 305 × 584,584,1056,314,36,64,743.7,30,,
UC 152 × 152 × 23,23,152.4,152.2,5.8,6.8,29.2,8,,
UC 152 × 152 × 30,30,157.6,152.9,6.5,9.4,38.3,8,,
UC 152 × 152 × 37,37,161.8,154.4,8,11.5,47.1,8,,
UC 203 × 203 × 46,46.1,203.2,203.6,7.2,11,58.7,10,,
UC 203 × 203 × 52,52,206.2,204.3,7.9,12.5,66.3,10,,
UC 203 × 203 × 60,60,209.6,205.8,9.4,14.2,76.4,10,,
UC 203 × 203 × 71,71,215.8,206.4,10,17.3,90.4,10,,
UC 203 × 203 × 86,86.1,222.2,209.1,12.7,20.5,109.6,10,,
UC 254 × 254 × 73,73.1,254.1,254.6,8.6,14.2,93.1,13,,
UC 254 × 254 × 89,88.9,260.3,256.3,10.3,17.3,113.3,13,,
UC 254 × 254 × 107,107,266.7,258.8,12.8,20.5,136.4,13,,
UC 254 × 254 × 132,132,276.3,261.3,15.3,25.3,168.1,13,,
UC 254 × 254 × 167,167,289.1,265.2,19.2,31.7,212.9,13,,
UC 305 × 305 × 97,96.9,307.9,305.3,9.9,15.4,123.4,15,,
UC 305 × 305 × 118,118,314.5,307.4,12,18.7,150.2,15,,
UC 305 × 305 × 137,137,320.5,309.2,13.8,21.7,174.4,15,,
UC 305 × 305 × 158,158,327.1,311.2,15.8,25,201.4,15,,
UC 305 × 305 × 198,198,339.9,314.5,19.1,31.4,252.4,15,,
UC 305 × 305 × 240,240,352.5,318.4,23,37.7,305.8,15,,
UC 305 × 305 × 283,283,365.3,322.2,26.8,44.1,360.4,15,,
UC 356 × 368 × 129,129,355.6,368.6,10.4,17.5,164.3,15,,
UC 356 × 368 × 153,153,362,370.5,12.3,20.7,194.8,15,,
UC 356 × 368 × 177,177,368.2,372.6,14.4,23.8,225.5,15,,
UC 356 × 368 × 202,202,374.6,374.7,16.5,27,257.2,15,,
UC 356 × 406 × 235,235,381,394.8,18.4,30.2,299,15,,
UC 356 × 406 × 287,287,393.6,399,22.6,36.5,365.7,15,,
UC 356 × 406 × 340,340,406.4,403,26.6,42.9,433,15,,
UC 356 × 406 × 393,393,419,407,30.6,49.2,500.6,15,,
UC 356 × 406 × 467,467,436.6,412.2,35.8,58,594.9,15,,
UC 356 × 406 × 509,509,446,416,39.1,62.7,649,15,,
UC 356 × 406 × 551,551,455.6,418.5,42.1,67.5,701.9,15,,
UC 356 × 406 × 592,592,465,421,45,72.3,754.9,15,,
UC 356 × 406 × 634,634,474.6,424,47.6,77,807.5,15,,
UC 356 × 406 × 677,677,483,428,51.2,81.5,863.4,15,,
UC 356 × 406 × 744,744,498,432,55.6,88.9,948.1,15,,
UC 356 × 406 × 818,818,514,437,60.5,97,1043.3,15,,
UC 356 × 406 × 900,900,531,442,65.9,106,1149.2,15,,
UC 356 × 406 × 990,990,550,448,71.9,115,1262.4,15,,
UC 356 × 406 × 1086,1086,569,454,78,125,1385.8,15,,
UC 356 × 406 × 1202,1202,580,471,95,130,1530.6,15.4,,
UC 356 × 406 × 1299,1299,600,476,100,140,1654.8,15.4,,
IPN 80,5.9,80,42,3.9,5.9,7.6,3.9,2.3,59
IPN 100,8.3,100,50,4.5,6.8,10.6,4.5,2.7,75
IPN 120,11.1,120,58,5.1,7.7,14.2,5.1,3.1,92
IPN 140,14.3,140,66,5.7,8.6,18.2,5.7,3.4,109
IPN 160,17.9,160,74,6.3,9.5,22.8,6.3,3.8,125
IPN 180,21.9,180,82,6.9,10.4,27.9,6.9,4.1,142
IPN 200,26.2,200,90,7.5,11.3,33.4,7.5,4.5,159
IPN 220,31.1,220,98,8.1,12.2,39.5,8.1,4.9,176
IPN 240,36.2,240,106,8.7,13.1,46.1,8.7,5.2,192
IPN 260,41.9,260,113,9.4,14.1,53.3,9.4,5.6,208
IPN 280,47.9,280,119,10.1,15.2,61,10.1,6.1,225
IPN 300,54.2,300,125,10.8,16.2,69,10.8,6.5,241
IPN 320,61,320,131,11.5,17.3,77.7,11.5,6.9,258
IPN 340,68,340,137,12.2,18.3,86.7,12.2,7.3,274
IPN 360,76.1,360,143,13,19.5,97,13,7.8,290
IPN 380,84,380,149,13.7,20.5,107,13.7,8.2,306
IPN 400,92.4,400,155,14.4,21.6,117.7,14.4,8.6,323
IPN 425,104,425,163,15.3,23,132,15.3,9.2,343
IPN 450,115,450,170,16.2,24.3,146.9,16.2,9.7,363
IPN 475,128,475,178,17.1,25.6,163,17.1,10.3,384
IPN 500,141,500,185,18,27,179.4,18,10.8,404
IPN 550,166,550,200,19,30,212,19,11.4,445
IPN 600,199,600,215,21.6,32.4,253.7,21.6,13,485
J 76 × 76 × 13,12.8,76.2,76.2,5.1,8.4,16.1,9.4,4.7,59.4
J 76 × 76 × 15,15,76.2,80,8.9,8.4,18.8,9.4,4.7,59.4
J 89 × 89 × 19,19.5,88.9,88.9,9.5,9.9,24.4,11.1,5.5,69.1
